,tweet_id,date,time,source,jpg_url,text,name,dog_stage,rating_numerator,rating_denominator,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,892420643555336193,2017-08-01,16:23:56,Twitter for iPhone,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,None,13.0,10.0,8547,38648,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False
1,892177421306343426,2017-08-01,00:17:27,Twitter for iPhone,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,None,13.0,10.0,6285,33127,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
2,891815181378084864,2017-07-31,00:18:03,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,None,12.0,10.0,4165,24934,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
3,891689557279858688,2017-07-30,15:58:51,Twitter for iPhone,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,None,13.0,10.0,8676,42022,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False
4,891327558926688256,2017-07-29,16:00:24,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,None,12.0,10.0,9426,40183,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True
5,891087950875897856,2017-07-29,00:08:17,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,None,13.0,10.0,3122,20149,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False
6,890971913173991426,2017-07-28,16:27:12,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,None,13.0,10.0,2076,11811,Appenzeller,0.34170300000000003,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False
7,890729181411237888,2017-07-28,00:22:40,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,None,13.0,10.0,18941,65284,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True
8,890609185150312448,2017-07-27,16:25:51,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,None,13.0,10.0,4277,27699,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True
9,890240255349198849,2017-07-26,15:59:51,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,14.0,10.0,7438,31835,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
10,890006608113172480,2017-07-26,00:31:25,Twitter for iPhone,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,None,13.0,10.0,7355,30570,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
11,889880896479866881,2017-07-25,16:11:53,Twitter for iPhone,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,None,13.0,10.0,4982,27685,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False
12,889665388333682689,2017-07-25,01:55:32,Twitter for iPhone,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,puppo,13.0,10.0,10083,47945,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
13,889638837579907072,2017-07-25,00:10:02,Twitter for iPhone,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,None,12.0,10.0,4556,27087,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True
14,889531135344209921,2017-07-24,17:02:04,Twitter for iPhone,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,puppo,13.0,10.0,2241,15045,Golden Retriever,0.953442,True,Labrador Retriever,0.0138341,True,Redbone,0.00795775,True
15,889278841981685760,2017-07-24,00:19:32,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,None,13.0,10.0,5432,25205,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
16,888917238123831296,2017-07-23,00:22:39,Twitter for iPhone,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,None,12.0,10.0,4510,28987,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True
17,888804989199671297,2017-07-22,16:56:37,Twitter for iPhone,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,None,13.0,10.0,4356,25501,Golden Retriever,0.46976,True,Labrador Retriever,0.184172,True,English Setter,0.0734817,True
18,888554962724278272,2017-07-22,00:23:06,Twitter for iPhone,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,None,13.0,10.0,3591,19841,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True
19,888078434458587136,2017-07-20,16:49:33,Twitter for iPhone,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,None,12.0,10.0,3505,21688,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True
20,887517139158093824,2017-07-19,03:39:09,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,None,None,14.0,10.0,11697,46085,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False
21,887473957103951883,2017-07-19,00:47:34,Twitter for iPhone,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,None,13.0,10.0,18266,68871,Pembroke,0.809197,True,Rhodesian Ridgeback,0.05495,True,Beagle,0.0389148,True
22,887343217045368832,2017-07-18,16:08:03,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,None,None,13.0,10.0,10427,33567,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True
23,887101392804085760,2017-07-18,00:07:08,Twitter for iPhone,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,None,None,12.0,10.0,5976,30438,Samoyed,0.733942,True,Eskimo Dog,0.0350295,True,Staffordshire Bullterrier,0.029704700000000007,True
24,886983233522544640,2017-07-17,16:17:36,Twitter for iPhone,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Maya,None,13.0,10.0,7795,35037,Chihuahua,0.793469,True,Toy Terrier,0.143528,True,Can Opener,0.0322529,False
25,886736880519319552,2017-07-16,23:58:41,Twitter for iPhone,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Mingus,None,13.0,10.0,3303,12028,Kuvasz,0.309706,True,Great Pyrenees,0.186136,True,Dandie Dinmont,0.08634630000000001,True
26,886680336477933568,2017-07-16,20:14:00,Twitter for iPhone,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Derek,None,13.0,10.0,4478,22331,Convertible,0.738995,False,Sports Car,0.139952,False,Car Wheel,0.0441727,False
27,886366144734445568,2017-07-15,23:25:31,Twitter for iPhone,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,pupper,12.0,10.0,3205,21118,French Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston Bull,7.55616e-05,True
28,886258384151887873,2017-07-15,16:17:19,Twitter for iPhone,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Waffles,None,13.0,10.0,6300,27880,Pug,0.943575,True,Shower Cap,0.0252856,False,Siamese Cat,0.00284892,False
29,885984800019947520,2017-07-14,22:10:11,Twitter for iPhone,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Jimbo,None,12.0,10.0,6831,32596,Blenheim Spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese Mountain Dog,0.00623915,True
30,885528943205470208,2017-07-13,15:58:47,Twitter for iPhone,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Maisey,None,13.0,10.0,6450,35863,Pug,0.369275,True,Labrador Retriever,0.265835,True,Kuvasz,0.134697,True
31,885167619883638784,2017-07-12,16:03:00,Twitter for iPhone,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,None,None,13.0,10.0,4395,21877,Malamute,0.8124819999999999,True,Siberian Husky,0.0717125,True,Eskimo Dog,0.0557697,True
